Twitter Username,Post,Date Posted
@AlfredJuan,Such egocentric loners with an overinflated sense of self-worth governing the country! Clearly you take the people for fools and have completely no respect for the rakyat. We the people should take a stand and make it known. #cabinetreshuffle #Rakyat #KerajaanGagal #reformasi,"Aug 27, 2021"
@AliyaaMaisarah_,forever #RakyatJagaRakyat,"Dec 19, 2021"
@AllanGelion,"The govt deploying many valuable resources to combat the peaceful demonstration at the drop of a bucket yet they couldn’t do shit during the flood 

#KerajaanGagal","Jan 22, 2022"
@Altaria_Motives,"#rakyatjagarakyat the rakyat are organising rescue parties, food banks, shelters, while Ismail Sabri and his gang of merry men are still recovering from hangovers after partying and eating cake all night. Selfish old farts. #KerajaanGagal","Dec 19, 2021"
@AmbbiDevarajoo,"Every #actofkindness counts.. With the pandemic and recent flood, people are struggling to make ends meet. Please stop to say hello, ask if they need anything or just get them something, even a pack of choc would put smile on their face #payitforward #RakyatJagaRakyat","Jan 5, 2022"
@Amelardz,"after almost 9 hours helping flood victims,balik rumah duduk lepak kering,bersih,felt bad and undeserved… stay strong and stay safe everyone #RakyatJagaRakyat","Dec 20, 2021"
@Amir57291267,Create the job to waste the rakyats money....same #KerajaanGagal,"Oct 12, 2021"
@AmirTheName,No more rain please. Atleast for sometime. I can’t watch anymore video’s of people suffering in the flood. Im willing to take the hot sun if it’s benefit those who are effected  #Banjir2021 #BanjirDarurat #RakyatJagaRakyat,"Dec 22, 2021"
@AmirTheName,So apparently the cop defended their decision on blocking the ambulance way to allow our PM crossing the traffic. What a country we are all living in. Shame on you stupid government  #KerajaanBangsat #KerajaanGagal #kerajaanbodoh,"Dec 27, 2021"
@Amirul_onlyme,Well it’s already gagal not even 100 hari memerintah. #KerajaanGagal,"Aug 27, 2021"
@Amjadnasir_,"WHERE THE FUCK IS THE PM 
#KerajaanGagal","Dec 18, 2021"
@AmyRamli93,"I would like to thank all the people who helped others in this time of need. Thanks to all the good samaritans and emergency services personnel who are breaking their backs and stretched out thin to help everyone. If anyone deserves high praise, its them.  #KerajaanGagal","Dec 20, 2021"
@AmyRamli93,"Never underestimate the cancel culture.

Malaysis Netizens are something else. When we unite, not one single person can change our minds.

Bye. We'll see how you do, the next GE. Shall we? 

#RakyatJagaRakyat","Dec 26, 2021"
@AmyRamli93,"Now I'm saying it. #KerajaanGagal.
So many things should have been done the moment people start saying water levels have risen. 
Our emergency services are stretched thin. A lot of people are still stranded, hungry. Where are the higher ups? Photo op? Chilling?","Dec 19, 2021"
@AndrewHosea,"Shitty performance in their job. Gets promoted.

Only in Malaysia
#NotMyPM
#KerajaanGagal","Aug 20, 2021"
@AnggunxXOXO,"People exhausted and dying and all of these MF MPs, who were lost in the last GE including the traitors of people's mandate, still fighting for power hunger game. May all of you rot in hell forever. Shame on you! #KerajaanGagal #KerajaanBodoh","Aug 19, 2021"
@AniJazilah,"#KerajaanGagal 
#DaruratBanjir
#RakyatTolongRakyat 

Come on Malaysia! Help each other rn","Dec 19, 2021"
@AnneDanam,"Malaysians are amazing. The people of this country are actually genuine, kind and caring. Just the government and cabinet ministers are heartless scoundrels. #RakyatJagaRakyat","Dec 21, 2021"
@AnxiousQuill,"Malaysians, I am so proud of y'all. You make me tear up everyday.

We don't need politicians. We have us. #RakyatJagaRakyat","Dec 24, 2021"
@ArAsyikin,"Maybe god will challenge us so we can know the true colours of these politicians. Tengok masa covid, its #KerajaanGagal. Now banjir, its #KerajaanGagalLagi. Maybe we should fight for the rightful leader. A good leader is what we need. A blessing malaysia longed for years.","Dec 22, 2021"
@AravinM1,"To all my Indian friends out there, pls don't pay any amount to the temples during this Thaipusam. Especially to pour the milk or do archanai. Instead stay at home and pray to lord Muruga to give a better Indian leaders to our safe our community.
#wellplanned 
#KerajaanGagal","Jan 13, 2022"
@AriffAdlyyy,"It’s always, and will always be #RakyatJagaRakyat.","Dec 20, 2021"
@ArizOdik,Memang betullah #rakyatjagarakyat. Stay safe guys,"Dec 18, 2021"
@Armand52638527,#KerajaanGagal 2.0 coming,"Aug 20, 2021"
@ArmandKugan,"#KerajaanGagal seems like too kind of a hashtag to use on these incompetent leaders. 

Please never forget. We cannot let this kind of incompetence claim more lives ever again.","Dec 19, 2021"
@ArmandKugan,Time and time again. When will enough be enough? #KerajaanGagal,"Dec 19, 2021"
@ArtOfReinaV,Nice to see #KerajaanGagal trending again heh Faileddd government hehhhh,"Oct 10, 2022"
@ArvInTheSky,"#Muhyiddin = Covid-19 Delta Variant, loosening of restrictions, death of 12k + souls.

#IsmailSabri = More variants to come (i.e. Delta Plus, Epsilon, etc), even more deaths & more blood on his hands.

Be prepared for the worst! #NotMyPM #SAYNOTOISMAILSABRI #KerajaanGagal","Aug 19, 2021"
@ArvInTheSky,"#kerajaancirit is such a disease. One recovered, surely will come back. And this time, we may have to sit with it for long until the next General Election. Faith of this country is so shitty! #KerajaanGagal #UMNO #IsmailSabri","Aug 19, 2021"
@ArvInTheSky,"Govt could have come up with better allocation (what the hell is RM1K?), not to mention Rina Harun washing cicak shit and bird dropping with water jets.
Keluarga Malaysia - who?  It's #RakyatJagaRakyat ALL THE WAY!","Dec 27, 2021"
@ArvInTheSky,I see the same people holding the same ministerial position. Zafrul and Rina Harun - I have no words. Fingers crossed  the fate of this is not doomed. #kerajaanGagal #Lawan,"Aug 27, 2021"
@ArvInTheSky,"If Hannah Yeoh replaced Rina Harun, things would be moving much much faster. That woman would not even hesitate to get her heels  into the mud and march on to rescue people. #KerajaanGagal #KerajaanBangsat","Dec 23, 2021"
@ArvInTheSky,"Ladies and Gentlemen, Selangor is now back to 4 figures. Beat that! So much for reducing the curve. It’s gonna take longer for us to get back to our normal routine and lives. #COVID19sucks #KerajaanGagal","Sep 28, 2021"
@ArvInTheSky,Malaysian politics is utter trash and garbage. #KerajaanGagal #IsmailSabri,"Sep 8, 2021"
@ArvInTheSky,Where the hell is Rina Harun and the rest of the gang weii?!! Dah mati ke. Senyap je! #KerajaanGagal #KerajaanBangsat,"Dec 21, 2021"
@ArvInTheSky,“Missing” Ismail Sabri… ahahahah Guan Eng really funny la. #KerajaanGagal,"Feb 11, 2022"
@Arvenesh,"United we stand, Divided we fall. #KerajaanGagal","Dec 24, 2021"
@ArwahMaklampir,@heyslideit Notion @KabinetMuhyiddin #KabinetMalaysia #KabinetPN #UMNOscam #KerajaanGagal #KerajaanPintuBelakang,"Mar 24, 2022"
@AshSharma_,"My heart is juz too heavy..looking at people suffering...and why do we have politicians again?idk...
#KerajaanGagal","Dec 24, 2021"
@Ashira_1,"With all seriousness, it felt so heartwarming to see Malaysian tried to help each other as much as they can #RakyatJagaRakyat #banjir","Dec 19, 2021"
@Ashnashriq,Same shit #KerajaanGagal,"Aug 19, 2021"
@AshraffRahman3,@NetflixMY should take some business lessons from our #KerajaanGagal eh.,"Dec 22, 2021"
@AshraffRahman3,"It's beautiful that like clockwork, #KerajaanGagal is trending again. 

And this time we really have a chance to make it count.

#bubarparlimensegera #PRU15","Oct 10, 2022"
@AshraffRahman3,"Yup but my money is also on the #KerajaanGagal to spew  all the ""he is an unpatriotic traitor"" nonsense.","Jan 21, 2022"
@AtikahhLaa,"At the end, #RakyatJagaRakyat .. ","Dec 18, 2021"
@Atiknoru,"Today, we as the rakyat will remember. Your incompetency will be remembered. 

#RakyatJagaRakyat","Dec 20, 2021"
@Ayeenby,"I want to help flood victim but I'm underage 

#RakyatJagaRakyat 
#DaruratBanjir
#ARMYBantuanBanjir 
#NCTzenBantu 
#STAYbantu","Dec 20, 2021"
@AzeriXify,Grabfood just sent a memo to vendors telling us to make sure to close our shop on our devices so that customers don't order tomorrow due to possibility riders won't be able to reach our outlet. #KerajaanGagal nak compensate to businesses ke sebab you nak tutup satu bandar KL?,"Jan 21, 2022"
@Azfarheziq,"Mad respect to all Malaysian influencer. You guys are truly Malaysian hero and heroine.
#RakyatJagaRakyat","Dec 22, 2021"
@AzirulAshraf,"RIP Malaysian Football , thanks @FAM_Malaysia . #KerajaanGagal #PresidenFAMSilaLetakJawatan @IsmailSabri60 #LetakJawatanJugak","Dec 19, 2021"
@AzizAisy1,"ISMAIL SABRI , WHERE R U ? Org susah , engkau sibuk potong kek . The whole KL is going to be flooded any time soon if you dilly dally . THE WORST PM IN MALAYSIA HISTORY. #KerajaanGagal","Dec 19, 2021"
@AzizAisy1,Steady Pak Cik . We r behind u . #KerajaanGagal,"Dec 20, 2021"
@AzizulArkaan,"So you want us to call for an emergency meeting? Ok, lets have in 13 days time. What is the rush anyway? #KerajaanGagal","Jan 7, 2022"
@B2utifuLight,"We are self-governed after all, the, parliament isn't functioning as it should be, everything is so fucked up, tell me how the people should have trust in you? #KerajaanGagal sentiasa mengecewakan ","Dec 20, 2021"
@B69Adam,"i think sabri misspelled #KerajaanGagal, its kerajaan....gagal... not #KeluargaMalaysia","Aug 22, 2021"
@BRB41315783,"If Ismail Sabri become next PM, is it means he control by President of UMNO?
How about Bersatu? Now it's ok to work together with someone pull you down 

#samegov
#samekerajaangagal
#kerajaangagal
#UMNO
#Bersatu","Aug 19, 2021"
@BShelfz,"""Kerajaan Gagal"" Malaysia will never be a world class unless all races are equal.  The rich Malay cronies will keep on promoting ""Ketuanan Melayu"" and the Sultans just keep quiet. Puppets of the Prime Minister and Ulamas.  
#Notoracism #KerajaanGagal","Oct 3, 2021"
@BShelfz,"Ajaran Sesat - If a Muslim commits , rape of child, adultery, murder, accept bribery, create hatred to another religion but prays everyday ... is better than anyone that doesn't commit the crime and don't pray, do you agree ?
#KerajaanGagal #KeluargaMalaysia","Sep 12, 2021"
@BShelfz,"All Educations should be equal to all.  Having quota causes more harm to the country.  Standards are deteriorating !!
#KerajaanGagal #KeluargaMalaysia","Sep 12, 2021"
@BShelfz,"Ex-PM says don't say Sarawakian or Sabahan.  Should call themselves as Malaysians. Then how about those born, raise and contribute to Malaysia and not Malays but labelled as ""Pendatang"". Government buat tak tau and buat bodoh 
#KerajaanGagal #kerajaaangagal2","Sep 8, 2021"
@BShelfz,"No Room for  Racism, whether in Sports or as a country.  The Prime Minister needs to put a stop to this criticism especially from the ""Ketuanan Melayu"" mentality

#Notoracism #MalaysiaBoleh #KerajaanGagal","Oct 3, 2021"
@BShelfz,"Parti BERSATU, it's purpose is not to unite the nation.  It's promoting ""Ketuanan Melayu"" and criticize other races. People like Borhan Che Rahim and his gang of staunch Malays that doesn't respect the other races.  A leopard will never lose it's spots.
#noracism #KerajaanGagal","Oct 3, 2021"
@BShelfz,"Pendatang, semua balik Tong San !! 
PM not taking actions against those ministers that keeps insisting this !! The Leader of the country also kept quiet !!
#KerajaanGagal  #KeluargaMalaysia","Sep 12, 2021"
@BShelfz,"Should have a policy to arrest the people of calling other races as ""pendatang"".  Other than non-malays, they are born , grow up and contribute to Malaysia.  Those ministers shouldn't be in the parliament at all. Very uneducated !!
#KerajaanGagal #KeluargaMalaysia","Sep 12, 2021"
@BShelfz,"When will the Government take actions on the people that incite hatred to non-malays and calling them as ""pendatang"" ?
#KeluargaMalaysia #KerajaanGagal  #FMTNews","Sep 12, 2021"
@B_Santhoosh,Same old #KerajaanBangsat #KerajaanPintuBelakang #kerajaangagal #KerajaanTumbang is back! Well played by Zahid & his gang! Sad to say that Anwar fell for it. The end for PH. God Bless Malaysia! dumbNO is back!,"Aug 20, 2021"
@Baevrvr,The new gov cabinet: not shocked and expected. Anyway hope that we're not facing another phase of #KerajaanGagal,"Aug 27, 2021"
@BakarBajuBuruk,I believe it's not about icitra. It's about the government is screwups badly and they don't know how to recover it. Every penny counts for the next election-15 corruption spree. They need to save money for the winning. #KerajaanGagal,"Dec 26, 2021"
@BberaBojen,Same shit different version #KerajaanGagal,"Aug 20, 2021"
@BeeJannah,At the end of the day #rakyatjagarakyat ,"Dec 19, 2021"
@Beije17,#syedsaddiq thank you because you stand with us and helped us when #KerajaanGagal happily cutting cake and enjoying the days,"Dec 29, 2021"
@Beije17,"Wait a second, you want Toyota as a official gov car?? Are you serious?? WAIT WHAT #KerajaanGagal . Gov need some management education","Dec 28, 2021"
@Beije17,Who is government now??.. What happened to out tax money?why others can show detail calculations when our government fail? #KerajaanGagal,"Dec 28, 2021"
@Beije17,"Who was that cutting cake while people suffering in flood, twin brother??? #KerajaanGagal #lie #Malaysia #government","Jan 20, 2022"
@BellerophonC,"Any respectable govt will have resigned over this breach of national security. But in this land of thieves & kleptocrats, all failures are acceptable. #fakof #KerajaanGagal","Sep 28, 2021"
@BellerophonC,"Delta, Lambda, Mu variants can expect a new sibling soon... Langkawi strain incoming. No thanks to the idiots who didnt plan thoughtfully. Yes putarjaya, side eyeing you. #kerajaangagal","Sep 18, 2021"
@BellerophonC,Its up to #RakyatJagaRakyat already. We do what we can to help out. ,"Dec 20, 2021"
@BenjaminPaiseh,"""We will not forgive you. We will not forget you. We will VOTE you out""
#KerajaanGagal #KerajaanBodoh","Aug 27, 2021"
@BenjaminPaiseh,"#KerajaanGagalLagi #KerajaanGagal 
So are you @IsmailSabri60 telling me to accept that dude responsible for 13,000 deaths? Surely there's a limit to stupidity!!!","Sep 5, 2021"
@BenjaminPaiseh,"@IsmailSabri60 @MuhyiddinYassin #KerajaanGagal 
Granted a deficiency in GREY MATTERS but is there any HUMANITY left? Think about the 17,000+ souls that have left us and reflect now on us that are holding onto a straw, hoping for simmering light of hope.","Sep 5, 2021"
@BenjaminPaiseh,"Perhaps Proton next model can be an affordable amphibious vehicle? We can even named it, SiKatak?
#KerajaanGagal","Mar 8, 2022"
@BenjaminPaiseh,"Petty corruption is like skin cancer. Curable.
Ministry corruption is like colon cancer. Arrest it early and maybe survive. 
Kleptrocracy is like brain cancer. It's FATAL.
#LAWAN #KERAJAANGAGAL","Sep 2, 2021"
@BenjaminPaiseh,"When the acronym MP becomes synonymous to Men of Poops. 
#KerajaanGagal #KerajaanBodoh #LAWAN","Sep 2, 2021"
@Biggie3Daddy,#KerajaanGagal fuck off! Including the royalties who sit tight in their high horses. Dua-dua sial!!,"Dec 19, 2021"
@Black_Ranger98,"when we say #KerajaanGagal we don't just mean those who give the orders but also those who enforce them. for too long have these pigs been tools in our oppression and intimidation. shame on them. disgusting
#lawan #lawanintimidasi","Aug 19, 2021"
@Bloom_is_Me,"Malaysia always #RakyatJagaRakyat 

May God bless each and every one of you. ","Dec 22, 2021"
