Twitter Username,Post,Date Posted
@ArvInTheSky,"#Muhyiddin = Covid-19 Delta Variant, loosening of restrictions, death of 12k + souls.

#IsmailSabri = More variants to come (i.e. Delta Plus, Epsilon, etc), even more deaths & more blood on his hands.

Be prepared for the worst! #NotMyPM #SAYNOTOISMAILSABRI #KerajaanGagal","Aug 19, 2021"
@ArvInTheSky,"#kerajaancirit is such a disease. One recovered, surely will come back. And this time, we may have to sit with it for long until the next General Election. Faith of this country is so shitty! #KerajaanGagal #UMNO #IsmailSabri","Aug 19, 2021"
@ArvInTheSky,"I believe that @anwaribrahim can have a better shot at this the next GE15. He needs to work in securing more seats and position himself even stronger. 

Just my opinion!

#SAYNOTOISMAILSABRI #LAWAN #NotMyPM #KerajaanGagal","Aug 19, 2021"
@ArvInTheSky,I see the same people holding the same ministerial position. Zafrul and Rina Harun - I have no words. Fingers crossed  the fate of this is not doomed. #kerajaanGagal #Lawan,"Aug 27, 2021"
@ArvInTheSky,"If Hannah Yeoh replaced Rina Harun, things would be moving much much faster. That woman would not even hesitate to get her heels  into the mud and march on to rescue people. #KerajaanGagal #KerajaanBangsat","Dec 23, 2021"
@ArvInTheSky,"If PN forms a government, democracy is fucking dead . Muhyiddin Yassin is #NotMyPM","Nov 20, 2022"
@ArvInTheSky,"Ladies and Gentlemen, Selangor is now back to 4 figures. Beat that! So much for reducing the curve. It’s gonna take longer for us to get back to our normal routine and lives. #COVID19sucks #KerajaanGagal","Sep 28, 2021"
@ArvInTheSky,Malaysian politics is utter trash and garbage. #KerajaanGagal #IsmailSabri,"Sep 8, 2021"
@ArvInTheSky,PAS has finally fallen.. #goodbye #KerajaanTumbang #KerajaanGagal,"Aug 16, 2021"
@ArvInTheSky,Where the hell is Rina Harun and the rest of the gang weii?!! Dah mati ke. Senyap je! #KerajaanGagal #KerajaanBangsat,"Dec 21, 2021"
@ArvInTheSky,“Missing” Ismail Sabri… ahahahah Guan Eng really funny la. #KerajaanGagal,"Feb 11, 2022"
@Arvenesh,Going to miss tweeting #KerajaanGagal,"Nov 24, 2022"
@Arvenesh,"United we stand, Divided we fall. #KerajaanGagal","Dec 24, 2021"
@ArwahMaklampir,@heyslideit Notion @KabinetMuhyiddin #KabinetMalaysia #KabinetPN #UMNOscam #KerajaanGagal #KerajaanPintuBelakang,"Mar 24, 2022"
@AsSaidByDarren,I can already hear #kerajaangagal echoing in my head.,"Aug 18, 2021"
@AshSharma_,"My heart is juz too heavy..looking at people suffering...and why do we have politicians again?idk...
#KerajaanGagal","Dec 24, 2021"
@Ashnashriq,Same shit #KerajaanGagal,"Aug 19, 2021"
@AshraffRahman3,@NetflixMY should take some business lessons from our #KerajaanGagal eh.,"Dec 22, 2021"
@AshraffRahman3,"Yup but my money is also on the #KerajaanGagal to spew  all the ""he is an unpatriotic traitor"" nonsense.","Jan 21, 2022"
@AzeriXify,Grabfood just sent a memo to vendors telling us to make sure to close our shop on our devices so that customers don't order tomorrow due to possibility riders won't be able to reach our outlet. #KerajaanGagal nak compensate to businesses ke sebab you nak tutup satu bandar KL?,"Jan 21, 2022"
@AzeriXify,When ShopeePartner is blasting more flood safety measures more than this #KerajaanGagal ,"Dec 19, 2021"
@Aziren2021,Sadly it's back to #KerajaanGagal habis lah rakyat lg,"Nov 21, 2022"
@AzirulAshraf,"RIP Malaysian Football , thanks @FAM_Malaysia . #KerajaanGagal #PresidenFAMSilaLetakJawatan @IsmailSabri60 #LetakJawatanJugak","Dec 19, 2021"
@AzizAisy1,"ISMAIL SABRI , WHERE R U ? Org susah , engkau sibuk potong kek . The whole KL is going to be flooded any time soon if you dilly dally . THE WORST PM IN MALAYSIA HISTORY. #KerajaanGagal","Dec 19, 2021"
